Replies_subject,relation,Replies_object
empty print,is with,G28 Z
Answer167,lift Z in,move commands
Answer167,lift,Z bit
two toolheads,should,should swappable
Lock,turning,lead screw
Lock,is in,initial nozzle height
lead screw,is adjusted at_time,time
lead screw,print T1 pattern for,comparison with T0 pattern extrusion width
lead screw,print,T1 pattern
Answer170,similar input without,wire diagram
Answer170,turn up,Fan speed 1
fan wires,run to,connector for E1
https://itworks3d.com/product-category/ 4-5-parts,Here is link to,their nozzles page
https://itworks3d.com/product-category/ 4-5-parts,is,Here link
User171,heat end to,185C
Answer171,can provide,advice
18 mm open end wrench,hold,hot end
please,be,careful
tool head,is mounted on,printer
please,be careful of,small thermistor wires
tool head,is,mounted
User171,can screw off,nozzle
User171,put nozzle on,as long
hot end,is,warm
User171,will,will able
attempted repairs,cause,accidental
viewtopic.php?t,0,4469
LulzBot.com/Support,is with,link to forum post
your prints,is with,tool head
Geetech GT2560,has,8 bit processor running
archim,has,32 bit
large complex prints,is with,high detail
8 bit chips,causes,printer
bad consistency,is in,print
Answer175,can send,you
Answer175,can send,gcode
problem,is in,boards
noise,is,your biggest concern
board,is,very nice
User176,are,unable
User176,get up,heating
User176,measure,resistance at room temperature
User176,have,issues about testing
stock extruder,is,definitely worth
extruder mount,is,broken
User178,can either print out purchase from,store
User178,can either print out,purchase
model,can,can found here
mount,change out,inserts
User178,'ll also have,mount to new one
mount,change out inserts from,old
User178,use here,guide
information,Starting at,at Step 8
User178,'ll need,tool head assembly instructions
User178,can find here,it
User178,are talking about,different part
Answer178,can help out,you
Answer179,have,6
connections,are,now soldered
Answer180,left,work
Answer180,did,cold pull process
Answer180,did pull process on,Friday
beds,is with,Crocus cloth
Answer180,moved on,temporary bar
original post,has,pictures were
Answer180,think,its ready go
Answer180,have,top eventually
department head,shoot for,dual extruder
Answer180,can get,department head
User181,will see,~ 8 pin connector
Cold pulls,do with,gears of dual v3 extruder body
Cold pulls,are,really hard
User182,can possibly do,it
min-temp,would depend on,filament type
filament,should,should semi-solid in nozzle
successful cold pull,would create,cone shaped filament end
Answer183,find,answer for
Answer183,did,quick test with print
Answer183,'m just stabbing at,button on stopwatch app
Answer183,dial back,speed
User184,can cut out,space for control box
User185,can clarify For,those of you
Answer185,upgraded to,V2 single extruder
Answer185,was inside,control box
spare terminal posts,is in,XZ connector
Answer185,tied into,main power supply input terminals
Answer185,chose,tie
My Z-axis,go,crazy
My Z-axis,is in,particular
20 mm calibration cubes,were coming out,around 15.5 mm tall
X/Y dimension,bulging due to,bulging from compressed Z layers
Answer185,broke,my cardinal rule
Answer185,made,multiple changes
Answer185,made changes during,one overhaul
interference,is with,steppers
power,feeds,motors
Answer185,pulling up,RAMBo manual
XZ connector port wires,are creating,sort
LEDs,ran,calibration cubes
LEDs,running power wire in,same cable bundle
is,back to,normal
XZ connector port wires,sort of,interference
LEDs,running,power wire
piercet,has,post in thread referencing
Answer185,see,piercet 's post
piercet 's post,is in,thread
Answer186,disassemble,my frame end
Looks,is,5 mm
Answer186,fished,bolt
Answer186,fished bolt through,spool holder base
Answer186,fished bolt into,threads
https://www.thingiverse.com/thing:2805599,has,clever
3D printing,combined with,regular hex nut
TAZ 5 profiles,is in,Cura LE
http://download.lulzbot.com/Software/Cura/Packages/ Version 21.08,should work well for,your current setup
endstop wiring,are,different
difference,is in,wiring
endstop wiring,will normally look on,Mini toolhead
Answer191,figure out,things
issue,was connection with,desktop
Answer191,attempted,direct connection
Answer191,added to,Cura
Answer191,'d added,install
Answer191,plugged back,it
Answer191,was,able
Answer191,establish,still COM6 interestingly
known-good profiles,is in,Cura LulzBot Edition
your filament,gets,where stuck
everything,is,aligned well
everything,is aligned well along,entire filament path
User192,make,sure
User192,'ll want,make
Answer193,can do,it
guide,was for,very old model of RAMBo board From Taz 1-2
Answer195,'ll reserve,my opinion
User195,read,Question
Dual Extruder v3,printing,flexible materials
Dual Extruder v3,is,capable
massive heater block,enable,extrusion rates
Answer195,'m still waiting,see
post,be,helpful
Edits,is in,red i-t-w.com
changes corrections,Feel,free
Feel,adds,changes corrections
12V 360W power supply,is with,printed endcap
stepper,for connector is,4 pin connector with 2 red wires
4 pin connector,connector for,hotend resistor
Adds,LCD with,SD card reader
screws,increased in,diameter with different thread pitch
New flexible aluminum Z axis couplers,lead,screws
Wire exits,moved,clear
new lower Z axis motor,mounts,TAZ 3 control box
several Y axis motor,mount,side endplate holes shift 15 mm
Lighter X carriage,is with,Dual Extruder cable
Lighter X carriage,eliminates,bed height adjustment
stiffer spring,allow for,accurate Z height keeping
Connectors,were 4pin in,V2b
Connectors,were,4pin
Some,avoid,mixing up 24V filament cooler fan
Mid production,switched to,V2c
Mid production,switched to,single 8x2 pin connector
500W higher quality metal,enclosed,power supply
500W higher quality metal,enclosed power supply in,later production
2 wires,supplying,fixed 5V https://www.lulzbot.com/store/parts/int
Toolhead harness,changes,toolhead carriage design
TAZ 6,runs,calibration routine
TAZ 6,runs calibration routine Like,LulzBot Mini
Z axis,runs up and down dynamically during,print
Z height values,are,fed
new,is,sanity check during bed calibration
value,is outside,reasonable range
halts calibration,re-starts calibration at_time,feature
Automatic nozzle cleaning,wipes nozzle on,replaceable pad prior
Automatic nozzle cleaning,wipes,nozzle
power supply,is,moved
X axis rods,increase in,size
Automatic temperature settings,need to,pre-set temperatures
Y front,match,Y rear endplate
Y endstops,are relocated from,frame to bed itself
Y endstops,are,relocated
X maximum endstop,installed on,rear X carriage
frame,is with,spinner
Change,using,dampers
mechanical parts,are,12 mm x rods
pei-sheet,Upgrade toolhead to,V2 hexagon https://ohai.lulzbot.com/project/taz4-hexagon-toolhead/ https://www.lulzbot.com/store/tool-head
Answer196,printing,my upgrade parts
Answer196,like,hunting
TAZ,just buy,one ready
User196,'ll,'ll likely money
upgrades,is in,Taz 4
User197,suppress,messages
User197,can set filter In,OctoPrint
User197,can set,terminal filter
User198,may want,try
contact,is with,nozzle risks sending to board
your first layer,is,high
User198,can adjust z-offset for,you printer
z-offset,is,distance
User198,Once have found,good setting for z-offset
typical z-offset,is,number
User198,change z-offset from,-1.35 mm
Answer198,like,do
Answer198,do,this
User198,selecting,Tune
bars,are called,leadscrews
bars,are,called
Bed,is,Y axis
User199,have,coupler
User199,missing,setscrew
User199,missing,two
debris,is in,Z axis smooth rod bearings
failures,be,broken
other rarer failures,would,would broken Z motor shaft
short,leading to,only one coil pair energized in motor
either,were,case
User200,should also check,idler bearing
User200,should also check idler bearing Of,course
User200,remove belt,check
User200,remove,belt
pulley,is,loose
pulley,is loose on,shaft
easiest way,is going,Cura
User201,multiply by,100 for 100 percent
User201,'ll take,20
User201,'ll take,your desired value
your,value,X Z
User202,Did change,e-steps
User202,Did change e-steps,match
thread,covering,basic process
viewtopic.php?f,essentially have,electronics
leadscrews,screw,nuts
User203,can get,x end plates
Itworks3d.com,can,can good source for those
Itworks3d.com,be,good
User203,going in,thread
User203,Once have,that
taz,is,24v
User203,Alternativly could upgrade to,6 spec
User203,might take,look at taz openbuilds
NinjaTek,recommends,extruder temperature
User204,'re having,jams
excess filament,use,piece
Please,be,careful
User204,do with,tool head off of printer
User204,access,different parts of toolhead
User204,are welcome,will help
User204,are,welcome
our repair disclaimer,Here is At,Aleph Objects
our repair disclaimer,is in,for just case
nozzle,requires,very precise torque
damage,switching out,nozzle
both,improve overall,bed adhesion
its properties,add,more surface area
your bed,mix up,9 parts water
your bed,get,spray bottle
your bed,mix up,1 part alcohol
User205,see,slight whitish film
process,will last,good while
Tue Nov 27 2018 8:45,am,plate
plate,is in,bottom picture
User206,were,Yup right
Thanks,have,nice day
z rods,are,STILL
z rods,grinding/buzzing,little
Answer207,loosen,mounts
Answer207,measured,lengths
much binding,will cause,step loss
your,rate,percentage
mine,set for,PLA
mine,set to,90 %
User208,'ll have to,experiment
plastic,be,different
Answer208,printed,10 cm x 10 cm cube
walls thickness,is with,micrometer
Answer209,updated firmware,I thought
Answer209,take,video
nozzle,Now will hit,corner piece
homing X/Y,is in,Cura
video,shows,X/Y
less fluid,is with,firmware
probing,instead hovering above,just nozzle
e-repairs,is In,regards to fan working
Your toolhead,should have,part cooling fans
Answer210,can look over,it
User211,print on,PEI side
Answer212,have issue with,1.1.18.62
Answer212,have,same issue
Answer212,click on,something
Answer212,'d say,30 % of time
Control Panel,is in,older versions of Cura
User214,measured,0.75 mm
fact,is,irrelevant
filament,passing through,nozzle
User215,are causing,binding
User215,have recently adjusted,your X axis belt tension
Answer216,'m,sorry
First,turn off,printer
First,disconnect from,power
nozzle,measure,same
set screws,install,your fan
User216,are,ready
hotends,being installed during,assembly of toolhead
hotends,being,installed
Answer217,'ve had issues with,jams
Answer217,'m wondering,similar to your problem
filament jamming,is in,cold area of hot end
My classroom,has,two taz 6 printers
